t(c)	x(m)
1.610	8.08
1.611	8.09
1.612	8.10
1.613	8.11
1.614	8.12
1.615	8.13
1.616	8.14
1.617	8.15
1.618	8.16
1.619	8.17
1.620	8.18
1.621	8.19
1.622	8.20
1.623	8.21
1.624	8.22
1.625	8.23
1.626	8.24
1.627	8.25
1.628	8.26
1.629	8.27
1.630	8.28
1.631	8.29
1.632	8.30
1.633	8.31
1.634	8.32
1.635	8.33
1.636	8.34
1.637	8.35
1.638	8.36
1.639	8.37
1.640	8.38
1.641	8.39
1.642	8.40
1.643	8.41
1.644	8.42
1.645	8.43
1.646	8.44
1.647	8.45
1.648	8.46
1.649	8.47
1.650	8.48
1.651	8.49
1.652	8.50
1.653	8.51
1.654	8.52
1.655	8.53
1.656	8.54
1.657	8.55
1.658	8.56
1.659	8.57
1.660	8.58
1.661	8.59
1.662	8.60
1.663	8.61
1.664	8.62
1.665	8.63
1.666	8.64
1.667	8.65
1.668	8.66
1.669	8.67
1.670	8.68
1.671	8.69
1.672	8.70
1.673	8.71
1.674	8.72
1.675	8.73
1.676	8.74
1.677	8.75
1.678	8.76
1.679	8.77
1.680	8.79
1.681	8.80
1.682	8.81
1.683	8.82
1.684	8.83
1.685	8.84
1.686	8.85
1.687	8.86
1.688	8.87
1.689	8.88
1.690	8.89
1.691	8.90
1.692	8.91
1.693	8.92
1.694	8.93
1.695	8.94
1.696	8.95
1.697	8.96
1.698	8.97
1.699	8.98
1.700	8.99
1.701	9.00
1.702	9.01
1.703	9.03
1.704	9.04
1.705	9.05
1.706	9.06
1.707	9.07
1.708	9.08
1.709	9.09
1.710	9.10
1.711	9.11
1.712	9.12
1.713	9.13
1.714	9.14
1.715	9.15
1.716	9.16
1.717	9.17
1.718	9.18
1.719	9.19
1.720	9.20
1.721	9.22
1.722	9.23
1.723	9.24
1.724	9.25
1.725	9.26
1.726	9.27
1.727	9.28
1.728	9.29
1.729	9.30
1.730	9.31
1.731	9.32
1.732	9.33
1.733	9.34
1.734	9.35
1.735	9.37
1.736	9.38
1.737	9.39
1.738	9.40
1.739	9.41
1.740	9.42
