t(c)	x(m)
13.580	755.44
13.590	756.63
13.600	757.82
13.610	759.01
13.620	760.21
13.630	761.40
13.640	762.60
13.650	763.79
13.660	764.99
13.670	766.19
13.680	767.39
13.690	768.59
13.700	769.79
13.710	770.99
13.720	772.19
13.730	773.40
13.740	774.60
13.750	775.81
13.760	777.02
13.770	778.23
13.780	779.43
13.790	780.64
13.800	781.86
13.810	783.07
13.820	784.28
13.830	785.50
13.840	786.71
13.850	787.93
13.860	789.14
13.870	790.36
13.880	791.58
13.890	792.80
13.900	794.02
13.910	795.24
13.920	796.47
13.930	797.69
13.940	798.91
13.950	800.14
13.960	801.37
13.970	802.60
13.980	803.82
13.990	805.05
14.000	806.28
14.010	807.52
14.020	808.75
14.030	809.98
14.040	811.22
14.050	812.45
14.060	813.69
14.070	814.93
14.080	816.17
14.090	817.41
14.100	818.65
14.110	819.89
14.120	821.13
14.130	822.38
14.140	823.62
14.150	824.87
14.160	826.11
14.170	827.36
14.180	828.61
14.190	829.86
14.200	831.11
14.210	832.36
14.220	833.61
14.230	834.87
14.240	836.12
14.250	837.38
14.260	838.63
14.270	839.89
14.280	841.15
14.290	842.41
14.300	843.67
14.310	844.93
14.320	846.19
14.330	847.46
14.340	848.72
14.350	849.99
14.360	851.25
14.370	852.52
14.380	853.79
14.390	855.06
14.400	856.33
14.410	857.60
14.420	858.87
14.430	860.15
14.440	861.42
14.450	862.70
14.460	863.97
14.470	865.25
14.480	866.53
14.490	867.81
14.500	869.09
14.510	870.37
14.520	871.65
14.530	872.94
14.540	874.22
14.550	875.51
14.560	876.79
14.570	878.08
14.580	879.37
14.590	880.66
14.600	881.95
14.610	883.24
14.620	884.53
14.630	885.83
14.640	887.12
14.650	888.42
14.660	889.71
14.670	891.01
14.680	892.31
14.690	893.61
14.700	894.91
14.710	896.21
14.720	897.51
14.730	898.81
14.740	900.12
14.750	901.42
14.760	902.73
14.770	904.04
14.780	905.35
14.790	906.66
14.800	907.97
14.810	909.28
14.820	910.59
14.830	911.90
14.840	913.22
14.850	914.53
14.860	915.85
14.870	917.17
14.880	918.49
14.890	919.81
14.900	921.13
14.910	922.45
14.920	923.77
14.930	925.09
14.940	926.42
14.950	927.74
14.960	929.07
14.970	930.40
14.980	931.73
14.990	933.06
15.000	934.39
15.010	935.72
15.020	937.05
15.030	938.39
15.040	939.72
15.050	941.06
15.060	942.39
15.070	943.73
15.080	945.07
15.090	946.41
15.100	947.75
15.110	949.09
15.120	950.43
15.130	951.78
15.140	953.12
15.150	954.47
15.160	955.81
15.170	957.16
15.180	958.51
15.190	959.86
15.200	961.21
15.210	962.56
15.220	963.92
15.230	965.27
15.240	966.62
15.250	967.98
15.260	969.34
15.270	970.70
15.280	972.05
15.290	973.41
15.300	974.78
15.310	976.14
15.320	977.50
15.330	978.86
15.340	980.23
15.350	981.60
15.360	982.96
15.370	984.33
15.380	985.70
15.390	987.07
15.400	988.44
15.410	989.81
15.420	991.19
15.430	992.56
15.440	993.94
15.450	995.31
15.460	996.69
15.470	998.07
15.480	999.45
15.490	1000.83
15.500	1002.21
15.510	1003.59
15.520	1004.97
15.530	1006.36
15.540	1007.74
15.550	1009.13
15.560	1010.52
15.570	1011.91
15.580	1013.30
15.590	1014.69
15.600	1016.08
15.610	1017.47
15.620	1018.86
15.630	1020.26
15.640	1021.65
15.650	1023.05
15.660	1024.45
15.670	1025.85
15.680	1027.25
15.690	1028.65
15.700	1030.05
15.710	1031.45
15.720	1032.86
15.730	1034.26
15.740	1035.67
15.750	1037.07
15.760	1038.48
15.770	1039.89
15.780	1041.30
15.790	1042.71
15.800	1044.13
15.810	1045.54
15.820	1046.95
15.830	1048.37
15.840	1049.78
15.850	1051.20
15.860	1052.62
15.870	1054.04
15.880	1055.46
15.890	1056.88
15.900	1058.30
15.910	1059.73
15.920	1061.15
15.930	1062.58
15.940	1064.00
15.950	1065.43
15.960	1066.86
15.970	1068.29
15.980	1069.72
15.990	1071.15
16.000	1072.58
16.010	1074.02
16.020	1075.45
16.030	1076.89
16.040	1078.33
16.050	1079.76
16.060	1081.20
16.070	1082.64
16.080	1084.08
16.090	1085.53
16.100	1086.97
16.110	1088.41
16.120	1089.86
16.130	1091.30
16.140	1092.75
16.150	1094.20
16.160	1095.65
16.170	1097.10
16.180	1098.55
16.190	1100.00
16.200	1101.46
16.210	1102.91
16.220	1104.37
16.230	1105.82
16.240	1107.28
16.250	1108.74
16.260	1110.20
16.270	1111.66
16.280	1113.12
16.290	1114.59
16.300	1116.05
16.310	1117.51
16.320	1118.98
16.330	1120.45
16.340	1121.92
16.350	1123.39
16.360	1124.86
16.370	1126.33
16.380	1127.80
16.390	1129.27
16.400	1130.75
16.410	1132.22
16.420	1133.70
16.430	1135.18
16.440	1136.66
16.450	1138.13
16.460	1139.62
16.470	1141.10
16.480	1142.58
16.490	1144.06
16.500	1145.55
16.510	1147.03
16.520	1148.52
16.530	1150.01
16.540	1151.50
16.550	1152.99
16.560	1154.48
16.570	1155.97
16.580	1157.47
16.590	1158.96
16.600	1160.46
16.610	1161.95
16.620	1163.45
16.630	1164.95
16.640	1166.45
16.650	1167.95
16.660	1169.45
16.670	1170.95
16.680	1172.46
16.690	1173.96
16.700	1175.47
16.710	1176.98
16.720	1178.48
16.730	1179.99
16.740	1181.50
16.750	1183.01
16.760	1184.53
16.770	1186.04
16.780	1187.55
16.790	1189.07
16.800	1190.59
16.810	1192.10
16.820	1193.62
16.830	1195.14
16.840	1196.66
16.850	1198.19
16.860	1199.71
